en,jp
for sure,確かに，間違いなく(熟語)
ancestor,祖先，先祖(名詞)
in time,丁度よい時に，丁度間に合って(熟語)
bend,曲げる，湾曲させる(動詞)
occur,発生する，起こる(動詞)
objection,異議，反対(名詞)
lazy,怠け者の，ぐうたらの(形容詞)
outstanding,並外れた，目立った(形容詞)
construct,を組み立てる，建設する(動詞)
adequate,適切で，十分な(形容詞)
instead of,の代わりに，代わって(熟語)
mildly,穏やかに，静かに(副詞)
scar,傷跡，痕跡(名詞)
hesitantly,躊躇して，もじもじして(副詞)
wealthy,裕福な，豊かな(形容詞)
give out,配布する，発表する(熟語)
forget,を忘れる，忘れ去る(動詞)
stranger,他人，他者(名詞)
prove,を証明する，立証する(動詞)
insurance,保険，保障(名詞)
generation,世代，年代(名詞)
take down,降ろす，書き取る(熟語)
conclude,を締めくくる，終える(動詞)
violence,暴力，乱暴(名詞)
irritate,イライラさせる，怒らせる(動詞)
put together,まとめる，一緒にする(熟語)
account for,を説明する，解説する(熟語)
tourism,観光，観覧(名詞)
commit,専念，ゆだねる(動詞)
put off,延期する，繰り延べる(熟語)
maintain,を維持する，保つ(動詞)
favor,親切な行為，好意(名詞)
relevant to,に関連して，関連づけて(熟語)
differ,異なる，違う(動詞)
keep up,保持する，維持する(熟語)
look over,見渡す，展望する(熟語)
though,だけれども，しかし(接続詞)
limb,手足，四肢(名詞)
eventually,結局は，やがて(副詞)
suggest,を提案する，勧める(動詞)
entitle to,に資格を与える，認定する(熟語)
capture,を捕まえる，捉える(動詞)
psychology,心理学，精神科学(名詞)
export,を輸出する，輸送する(動詞)
spill,をこぼす，溢れる(動詞)
identity,同一性，一致性(名詞)
participate,参加する，出席する(動詞)
cough,咳払いする/咳(名詞/動詞)
include,を含む，内包する(動詞)
sincerely,心から，真心こめて(副詞)
absorb in,吸収する，没頭する(熟語)
improvement,改善，改良(名詞)
crime,犯罪，罪行(名詞)
spiritually,精神的に，心の中で(副詞)
proposal,提案，勧告(名詞)
confess,を打ち明ける，白状する(動詞)
credit,信用，信頼(名詞)
reservation,予約，確保(名詞)
translation,翻訳，訳文(名詞)
disadvantage,不利益，不利な立場，損失(名詞)
objectively,客観的に，冷静に(副詞)
consumption,消費，消費高(名詞)
innocently,無邪気に，素直に(副詞)
researcher,研究者，調査員(名詞)
location,位置，場所(名詞)
oxygen,酸素(名詞)
do away with,廃止する，取り消す(熟語)
take care,注意する，警戒する(熟語)
neglect,を無視する，放っておく(動詞)
be obliged to,義務付けられる，やむを得ずする(熟語)
survive,生き残る，存続する(動詞)
desert,砂漠，乾燥地帯(名詞)
donation,寄贈，寄付(名詞)
exhibit,示す，表示する(動詞)
principal,主要な，基本的な(形容詞)
product,製品，商品(名詞)
in short,要するに，つまり(熟語)
formal,正式な，公式の(形容詞)
persuasion,説得，口説き(名詞)
huge,巨大な，広大な(形容詞)
migrate,移行する，移住する(動詞)
logical,論理的な，論理上の(形容詞)
get away with,を持ち逃げする，盗み出す(熟語)
interpret,を解釈する，受け取る(動詞)
accuracy,正確さ，精密(名詞)
contribution,寄付，貢献(名詞)
climb,登る，よじ登る(動詞)
stand up,立つ，起きる(熟語)
preserve,保存/を保存する(動詞)
laundry,洗濯物，クリーニング店(名詞)
deal,を扱う，分配する(動詞)
complain of,の不満を漏らす，について苦情を言う(熟語)
intensive,集中的な，強調の(形容詞)
look through,をひと通り調べる，を見抜く(熟語)
budget,予算，経費(名詞)
mummy,ミイラ，乾燥死体(名詞)
dizziness,めまい，立ち眩み(名詞)
occasionally,時折，稀に(副詞)
audience,聴衆，観客(名詞)
liquid,液体，流体(名詞)
combine,を結合させる，合同する(動詞)
imply,をほのめかす，暗示する(動詞)
applause,拍手かっさい，称賛(名詞)
ridiculous,ばかげている，不合理な(形容詞)
ignore,を無視する，見逃す(動詞)
mammal,哺乳類(名詞)
indeed,実に，全く(副詞)
blame for,の責任を問う，を責める(熟語)
fossil,化石，遺跡(名詞)
obvious,明白な，明瞭な(形容詞)
precise,正確な，的確な(形容詞)
see in,案内して部屋に入れる，迎える(熟語)
happen,起こる，発生する(動詞)
argument,議論，口論(名詞)
visually,視覚的に，目で見て(副詞)
terribly,ひどく，ものすごく(副詞)
go after,を追いかける，追跡する(熟語)
by nature,本来，生来(熟語)
direction,方向，方角(名詞)
differ from,とは違って，との違い(熟語)
astonish,ひどく驚かす，驚かせる(動詞)
divide,を分割する，分ける(動詞)
at least,少なくとも，最低限(熟語)
distract,気を散らす，気をそらす(動詞)
describe,を述べる，描写する(動詞)
in place,決まった場所に，適切で(熟語)
opinion,意見，考え(名詞)
finally,ついに，やっと(副詞)
frown,しかめっ面，顔をしかめる(名詞/動詞)
culture,文化，教養(名詞)
overcome,を克服する，乗り越える(動詞)
figure,形，姿(名詞)
inspire,鼓舞する，励ます(動詞)
prize,賞，報酬(名詞)
accomplishment,完成，成果(名詞)
suburb,郊外，近郊(名詞)
drag,引っ張る，引きずる(動詞)
mineral,無機物，非生物(名詞)
escape,逃れる，脱走する(動詞)
come out,出てくる，世に出る(熟語)
tremble,震える，おののく(動詞)
stay up,(夜遅くまで)起きている，覚醒している(熟語)
genuine,本物の，純粋な(形容詞)
come across,を横切る，出くわす(熟語)
needlessly,不必要に，無用に(副詞)
in exchange,と引き換えに，代わりに(熟語)
during,～の間，～の間ずっと(接続詞)
island,島，島々(名詞)
property,財産，所有物(名詞)
deaf,耳が不自由な，耳が聞こえない(形容詞)
masterpiece,傑作，名作(名詞)
bound for,行きの，方向の(熟語)
in stock,在庫あり，在庫のある(熟語)
admission,入場，入場料(名詞)
retire,退職する，引退する(動詞)
deliver,配達する，届ける(動詞)
draw,描く，引っ張る(動詞)
factory,工場，製造所(名詞)
create,創造する，考案する(動詞)
rather,むしろ，どちらかといえば(副詞)
threat,脅威，危機(名詞)
tropical,熱帯の，熱帯気候の(形容詞)
act on,を決定する，決議する(熟語)
vital,極めて重要な，生命の(形容詞)
agricultural,農業の，農作物の(形容詞)
altogether,完全に，まったく(副詞)
quantity,量，数値(名詞)
male,男性，雄(名詞)
by means of,によって，を用いて(熟語)
insist,強く主張する，断言する(動詞)
hesitation,ためらい，躊躇(名詞)
persist in,固執する，やり通す(熟語)
conversation,会話，対話(名詞)
ordinary,ふつうの，いつもの(形容詞)
in vain,無駄に，軽々しく(熟語)
catch up with,に追いつく，付いていく(熟語)
off duty,非番の，勤務時間外で(熟語)
live on,生き続ける，存続する(熟語)
illustration,図解，実例(名詞)
expensive,高価な，費用のかかる(形容詞)
expect,予期する，予想する(動詞)
concentration,集中，専念(名詞)
thermometer,温度計，気温計(名詞)
advertisement,広告，宣伝(名詞)
debt,借金，負債(名詞)
pull down,引き下げる，取り壊す(熟語)
investigate,調査する，研究する(動詞)
description,説明書，記述(名詞)
as follows,次のとおり，以下の通り(熟語)
bother,面倒/迷惑をかける(動詞)
punishment,罰，罰則(名詞)
propose,を提案する，申し出る(動詞)
flame,火炎，炎(名詞)
ambulance,救急車，救援車(名詞)
intense,激しい，熱心な(形容詞)
impossible,不可能な，実現不可能な(形容詞)
be accustomed to,に慣れている，馴染んでいる(熟語)
curiosity,好奇心，探究心(名詞)
organization,組織，団体，協会(名詞)
in danger of,の危険にさらされている，危険に直面している(熟語)
in turn,順番に，順次(熟語)
worthy of,ふさわしくて，に値して(熟語)
look up to,を尊敬する，を敬う(熟語)
add to,付け加える，増やす(熟語)
submit,を提出する，に服従する(動詞)
immigration,移住，入国管理(名詞)
convince,を納得させる，説得する(動詞)
declare,を宣言する，公表する(動詞)
vain,うぬぼれの強い，自惚れた(形容詞)
resource,資源，資産(名詞)
domestic,国内の，家庭の(形容詞)
make up,用意する，片付ける(熟語)
affection,愛情，好意(名詞)
recent,最近の，新しい(形容詞)
discovery,発見，見つけること(名詞)
by heart,体で覚えて，身体的に覚える(熟語)
stimulate,を刺激する，元気づける(動詞)
college,大学，高等教育機関(名詞)
academically,学問的に，知識的に(副詞)
grass,草(名詞)
praise,をほめる/賞賛(動詞)
dentist,歯医者，歯科医(名詞)
truly,真に，正確に(副詞)
cling,くっつく，接着する(動詞)
clip,切る，切り取る/クリップ(動詞)
reaction,反応，反響(名詞)
conventional,従来の，伝統的な(形容詞)
relieve,和らげる，軽減する(動詞)
seek,求める，捜し出す(動詞)
forever,永遠に，ずっと(副詞)
intervention,介在，仲裁(名詞)
historian,歴史家，史学者(名詞)
whether,どちらか，いずれか(接続詞)
ethnic,民族の，民族特有の(形容詞)
swear,誓う，宣誓する(動詞)
responsibility,責任，義務(名詞)
opponent,相手，対象(名詞)
blow,吹く，吹き飛ばす(動詞)
history,歴史，過去(名詞)
society,社会，共同体(名詞)
mature,成熟した，大人の(形容詞)
democratic,民主主義の，民主政治の(形容詞)
manager,部長，支配人(名詞)
definition,定義，明確な説明(名詞)
abstract,抽象的な，非具体的な(形容詞)
recover,回復する，元に戻る(動詞)
notion,考え，意見(名詞)
reject,拒絶する，断る(動詞)
chamber,小部屋，個室(名詞)
desire,願望/切望する(動詞)
distinguish,を区別する，識別する(動詞)
warn,警告する，警戒する(動詞)
excess,過剰，超過(名詞)
numerous,多数の，多くの(形容詞)
harmony,調和，一致(名詞)
fail,失敗する，うまくいかない(動詞)
gentle,穏やかな，物柔らかな(形容詞)
enforcement,執行，実施(名詞)
trait,特性，特色(名詞)
deficit,赤字，欠損(名詞)
source,情報源，原因(名詞)
representative,代表者，代理人(名詞)
commitment,約束，委託(名詞)
worry,心配させる，心配する(動詞)
bitter,苦い，えぐい(形容詞)
assess,評価する，査定する(動詞)
prosecution,起訴，告訴(名詞)
discussion,議論，討論(名詞)
drift,漂流，流れる(名詞)
troop,群れ，集団(名詞)
crack,裂け目，ひび(名詞)
output,生産量，製造量(名詞)
relation,関係性，相互作用(名詞)
law,法律，制度(名詞)
share,分かち合う/分け前(動詞)
assist,手伝う，促進する(動詞)
later,後に，以後(副詞)
resolution,解決，決意(名詞)
welcome,歓迎される，迎えられる(動詞)
ensure,を確実にする，を保証する(動詞)
classical,古典の，古代の(形容詞)
merely,単に，ただ(副詞)
according,による，準じて(副詞)
occupation,職業，仕事(名詞)
proportion,比率，割合(名詞)
anger,怒り，憤り(名詞)
delivery,配達，送付(名詞)
annoy,いらだたせる，怒らせる(動詞)
civilian,民間人，一般市民(名詞)
craft,工芸，技能(名詞)
appreciate,感謝する，ありがたがる(動詞)
corridor,廊下，通路(名詞)
plenty,たくさん，多く(名詞)
virtue,徳，道徳(名詞)
pleasure,楽しみ，喜び(名詞)
bored,退屈した，つまらない(形容詞)
behavior,振る舞い，態度(名詞)
conscious,意識して，気をつけて(形容詞)
objective,目標，目的(名詞)
education,教育，指導(名詞)
regional,地方の，地域の(形容詞)
controversial,議論の的になる，論争上の(形容詞)
investigator,捜査官，探偵(名詞)
slide,滑る，滑走する(動詞)
seat,を着席させる/座席(動詞)
tap,軽くたたく，軽く打つ(動詞)
manner,やり方，方法(名詞)
therapy,治療，療法(名詞)
compete,競争する，争う(動詞)
representation,表現，表示(名詞)
tear,を引き裂く，を裂く(動詞)
crucial,重要な，決定的な(形容詞)
creative,創造的な，独創的な(形容詞)
realize,だとわかる，実現する(動詞)
physics,物理学，物理科学(名詞)
invest,に投資する，資本をつぎ込む(動詞)
satisfaction,満足，充足(名詞)
dust,ほこり，塵(名詞)
possible,可能な，実現可能な(形容詞)
tremendous,非常に大きな，極めて大きい(形容詞)
typically,典型的に，一般的に(副詞)
awareness,気づき，認識(名詞)
quite,かなり，相当に(副詞)
committee,委員会，会議(名詞)
dependent,依存している，頼っている(形容詞)
especially,特に，格段に(副詞)
deputy,代理，代わり(名詞)
extent,程度，大きさ(名詞)
subject,教科，主題(名詞)
horror,恐怖，怖さ(名詞)
salary,給与，報酬(名詞)
grand,壮大な，雄大な(形容詞)
guide,案内人/案内する(名詞)
vessel,容器，器(名詞)
cooperation,協力，共同作業(名詞)
interfere,に干渉する，介入する(動詞)
recall,呼び戻す，思い出す(動詞)
patience,辛抱強さ，忍耐力(名詞)
venture,冒険的事業，投機的事業(名詞)
annual,毎年の，年毎の(形容詞)
fair,公平な，平等な(形容詞)
bill,請求書，勘定書(名詞)
behind,背後に，後方に(副詞)
suppose,だと思う，と仮定する(動詞)
provision,供給，支給(名詞)
depend,依存する，頼る(動詞)
myth,神話，神話伝説(名詞)
sink,沈む，沈没する(動詞)
pregnant,妊娠している，妊娠中の(形容詞)
derive,を引き出す，取り出す(動詞)
practically,実質的に，実用的に(副詞)
elaborate,手の込んだ，複雑な(形容詞)
refugee,難民，避難者(名詞)
motive,動機，意欲(名詞)
ally,と同盟する，連合する(動詞)
minimum,最小の，最も小さな(形容詞)
attorney,弁護士，代理人(名詞)
commissioner,委員，理事(名詞)
clue,手がかり，糸口(名詞)
minister,大臣，牧師(名詞)
arrival,到着，到達(名詞)
technique,技術，専門(名詞)
similarity,類似点，相似(名詞)
fully,十分に，完全に(副詞)
nowhere,どこにも，どこにでも(副詞)
hunger,飢え，空腹(名詞)
pretend,のふりをする，に成りすます(動詞)
perception,知覚，認知(名詞)
leap,飛び跳ねる，飛び越える(動詞)
lie,横たわる，寝転ぶ(動詞)
tongue,言葉，舌(名詞)
success,成功，達成(名詞)
candidate,候補者，志願者(名詞)
hate,ひどく嫌う，深く憎む(動詞)
notice,気づく/通知(動詞)
mystery,神秘的な/神秘(名詞)
dignity,威厳，尊厳(名詞)
senate,上院，上院議会(名詞)
contemporary,現在の，現代の(形容詞)
previous,前の，以前の(形容詞)
fiber,繊維，糸(名詞)
oppose,反対する，抵抗する(動詞)
creation,創造，創作(名詞)
Jewish,ユダヤ人，ユダヤ教徒(形容詞)
reputation,評判，評価(名詞)
rude,失礼な，無礼な(形容詞)
ritual,儀式，式典(名詞)
historical,歴史上の，過去の(形容詞)
opposition,反対，対立(名詞)
structure,構造，建造物(名詞)
percentage,割合，比率(名詞)
enter,入る，入場する(動詞)
install,導入する，導く(動詞)
tip,先，前方(名詞)
use up,使い切る，消耗する(熟語)
state,状態，状況(名詞)
adjust,を調節する，調整する(動詞)
physician,医師，内科医(名詞)
labor,労働，労働者(名詞)
international,国際的な，国際レベルの(形容詞)
strongly,強く，激しく(副詞)
arms,武器，兵器(名詞)
household,家族，世帯(名詞)
nation,国家，国土(名詞)
jury,陪審員，審査員(名詞)
former,前の，以前の(形容詞)
illegal,違法の，不正な(形容詞)
circumstance,状況，環境(名詞)
wan,青ざめた，蒼白な(形容詞)
spoil,台無しにする，損なう(動詞)
composition,構成，制作(名詞)
tail,尾，尾部(名詞)
majority,大多数，多数派(名詞)
beside,の横に，隣に(前置詞)
operation,操作，作用(名詞)
talent,才能，能力(名詞)
pleasant,楽しい，愉快な(形容詞)
era,時代，世代(名詞)
ultimate,究極の，最後の(形容詞)
telescope,望遠鏡，遠望鏡(名詞)
originate,始まる，起こす(動詞)
delight,喜び，歓喜(名詞)
whenever,する時はいつでも，する際は常に(接続詞)
operate,操作する，操る(動詞)
consistent,一貫した，矛盾のない(形容詞)
exhaust,疲れ果てさせる，消耗させる(動詞)
twin,双子，二卵性双生児(名詞)
fix,固定する，修理する(動詞)
enhance,強調する，(さらに)高める(動詞)
defendant,被告人，告発される人(名詞)
negotiation,交渉，話し合い(名詞)
face,直面する/顔(動詞)
immediate,即座の，瞬時の(形容詞)
instant,瞬間，瞬時(名詞)
bloody,血の，血液の(形容詞)
gear,伝動装置，動力伝達装置(名詞)
block,を妨げる，を阻害する(動詞)
unless,でない限り，除いて(接続詞)
willing,いとわない，快諾する(形容詞)
negotiate,交渉する，協議する(動詞)
doubt,疑い，疑問(名詞)
afford,余裕がある，ゆとりがある(動詞)
wage,賃金，報酬(名詞)
abortion,中絶，妊娠中絶(名詞)
strange,奇妙な，異常な(形容詞)
estate,財産，資産(名詞)
addition,追加，付加(名詞)
smart,頭の良い，きちんとした(形容詞)
bind,縛りつける，束ねる(動詞)
shed,流す，排出する(動詞)
citizen,市民，国民(名詞)
summit,頂上，山頂(名詞)
battery,電池，蓄電池(名詞)
complexity,複雑さ，錯綜さ(名詞)
reduction,削減，減少(名詞)
disaster,災害，災難(名詞)
comfort,快適さ/慰める(名詞)
founder,創設者，創立者(名詞)
assault,暴行，攻撃(名詞)
broadcast,放送する，発信する(動詞)
critic,批評家，評論家(名詞)
friendly,友好的な，親切な(形容詞)
consequently,その結果として，それゆえに(副詞)
urban,都会の，市内の(形容詞)
detailed,詳細の，具体的な(形容詞)
primitive,原始的な，先史的な(形容詞)
electrical,電気の，電気を用いた(形容詞)
afraid,心配して，恐れて(形容詞)
community,共同社会，共同体(名詞)
connect,つなげる，接続する(動詞)
scheme,計画，企画(名詞)
language,言語，言葉(名詞)
colleague,同僚，仲間(名詞)
stroke,打撃，衝撃(名詞)
servant,使用人，召使(名詞)
belief,信念，信条(名詞)
inflation,膨張，拡大(名詞)
Muslim,イスラム教徒，ムスリム(名詞)
upset,気持ちが動揺した，ひっくり返す(形容詞)
inquiry,問い合わせ，質問(名詞)
apply,適用する，応用する(動詞)
failure,失敗，挫折(名詞)
seed,種子，種(名詞)
potentially,潜在的に，可能性として(副詞)
cultivate,耕作する，耕す(動詞)
awful,ひどい，恐ろしい(形容詞)
mate,友達，仲間(名詞)
military,軍隊，兵力(名詞)
armed,武装した，装備した(形容詞)
lung,肺(名詞)
sequence,連続，継続(名詞)
impress,感銘を与える，感動させる(動詞)
Mexican,メキシコの，メキシコ系の(形容詞)
suffering,苦しみ，悩み(名詞)
refrain from,を控える，を遠慮する(熟語)
well-known,よく知られた，有名な(形容詞)
associate,結びつけて考える，賛同する(動詞)
lord,領主，支配者(名詞)
governor,知事，州知事(名詞)
permanent,永久の，永遠の(形容詞)
bishop,司教，教会の指導者(名詞)
background,背景，背後(名詞)
beg,懇願する，願い出る(動詞)
relevant,関連のある，適切な(形容詞)
recognition,認識，認知(名詞)
sharp,鋭い，先鋭的な(形容詞)
legal,法律の，法的な(形容詞)
criticize,を批評する，を評価する(動詞)
naked,裸の，無防備な(形容詞)
symptom,症状，兆候(名詞)
raw,生の，未加工の(形容詞)
association,協会，連合(名詞)
phase,段階，レベル(名詞)
politics,政治，政策(名詞)
atmosphere,雰囲気，気候(名詞)
lap,ひざ，膝小僧(名詞)
clerk,事務員，社員(名詞)
fault,欠点，短所(名詞)
toward,向かって，のほうへ(前置詞)
foreign,外国の，海外の(形容詞)
global,地球の，世界の(形容詞)
hire,雇う，採用する(動詞)
item,項目，要点(名詞)
dislike,嫌がる，嫌い(動詞)
unknown,未知の，分からない(形容詞)
nearby,近くの，隣近所の(形容詞)
traditional,伝統的な，慣習的な(形容詞)
liberty,自由，独立(名詞)
toe,つま先，足の指(名詞)
log,丸太，円木(名詞)
appoint,任命する，指定する(動詞)
courage,勇気，勇猛(名詞)
quarter,四半期，四分期(名詞)
affair,事柄，問題(名詞)
snap,パチンと鳴らす，カチンと鳴らす(動詞)
tale,お話，物語(名詞)
educational,教育の，教授の(形容詞)
hardly,ほとんどない，少ない(副詞)
conclusion,結論，最終的な判断(名詞)
whereas,である一方で，だが一方で(接続詞)
custom,習慣，慣例(名詞)
biological,生物学上の，生物的な(形容詞)
confine,制限する，限定する(動詞)
beneath,の下に，以下に(前置詞)
extinction,絶滅，消失(名詞)
tiny,ごく小さい，微小な(形容詞)
election,選挙，投票(名詞)
charm,魅力，引力(名詞)
palm,手のひら，（動物の）前足の裏(名詞)
mean,を意味する，を示す(動詞)
advertise,宣伝する，広告する(動詞)
advertising,広告，宣伝(名詞)
factor,要因，原因(名詞)
curious,好奇心が強い，探究心が強い(形容詞)
pitch,投げる，放る(動詞)
excessive,過度の，極端な(形容詞)
war,戦争，衝突(名詞)
apparently,明らかに，明確に(副詞)
boundary,境界，限界(名詞)
procedure,手続き，手順(名詞)
consumer,消費者，利用者(名詞)
satisfactory,満足のいく，充足する(形容詞)
echo,こだま，反響(名詞)
essay,論文，随筆(名詞)
extension,拡張，展開(名詞)
atomic,原子の，素粒子の(形容詞)
sigh,ため息をつく，ため息を出す(動詞)
sophisticated,洗練された，高雅な(形容詞)
considerable,かなりの，相当な(形容詞)
explain,を説明する，を解説する(動詞)
bet,賭ける，博打をする(動詞)
plant,植物，草木(名詞)
scatter,まき散らす，ばらまく(動詞)
admire,を賞賛する，を賛美する(動詞)
largely,主として，主に(副詞)
rear,後部の，背後の(形容詞)
bond,拘束，束縛(名詞)
authority,権威，権力(名詞)
medium,中間の，中央の(形容詞)
adapt,に適合させる，調整する(動詞)
resist,抵抗する，反発する(動詞)
folk,人々，群衆(名詞)
poet,詩人，作詩者(名詞)
resolve,解決する，を決心する(動詞)
detail,詳細，具体的な情報(名詞)
priority,優先度，優越性(名詞)
`false,誤った，間違った(形容詞)
prisoner,囚人，受刑者(名詞)
apparent,外見上の，明白な(形容詞)
lab,研究室，研究所(名詞)
squeeze,絞る，押しつぶす(動詞)
status,状態，身分(名詞)
pension,年金，老後の資金(名詞)
unique,他に類を見ない，唯一の(形容詞)
eliminate,を取り除く，を排除する(動詞)
patch,当て布，布切れ(名詞)
observation,観察，観測(名詞)
dozen,12の(名詞)
airline,航空会社，航空業者(名詞)
flow,流れる，流す(動詞)
independent,独立した，自立した(形容詞)
president,社長，大統領(名詞)
socially,社会的に，社会的観点から(副詞)
settle,決着させる，解決する(動詞)
ideal,理想，目指すべき状態(名詞)
address,住所，居住地(名詞)
pray,祈る，願う(動詞)
ray,光線，放射線(名詞)
maker,製造元，製作者(名詞)
combat,戦闘，闘争(名詞)
ministry,省庁，官庁(名詞)
explosion,爆発，爆裂(名詞)
cure,治療する，療養する(動詞)
public,公共の，共有の(形容詞)
reach,到着する，辿り着く(動詞)
impact,影響，衝撃(名詞)
union,統合，一致(名詞)
author,著者，作者(名詞)
thick,厚い，肥厚な(形容詞)
presence,存在，存在感(名詞)
incorporate,合体させる，統合する(動詞)
rent,家賃，賃料(名詞)
radical,急進的な，抜本的な(形容詞)
economics,経済学，財政学(名詞)
trust,信頼，信用(名詞)
virus,ウイルス，病原体(名詞)
party,政党，党派(名詞)
pupil,生徒，学生(名詞)
unusual,珍しい，異常な(形容詞)
meal,食事，食事療法(名詞)
neighbor,隣人，近隣住民(名詞)
civil,市民の，住民の(形容詞)
counter,に対抗する，に立ち向かう(動詞)
suicide,自殺，自害(名詞)
protein,タンパク質，タンパク物質(名詞)
poll,投票，選挙(名詞)
mutual,相互の，互いの(形容詞)
vote,投票する/投票権(動詞)
attend,出席する，付き添う(動詞)
regret,後悔する/後悔，遺憾(動詞)
academic,学術の，大学の(形容詞)
supreme,最高の，至高の(形容詞)
comfortable,心地の良い，快適な(形容詞)
involvement,関与，関わり合い(名詞)
crowd,群衆，大衆(名詞)
emotional,感情の，情緒の(形容詞)
revenue,収益，所得(名詞)
neighborhood,近所，近隣(名詞)
concern,心配する，に関係する(動詞)
remember,覚えている，を思い出す(動詞)
guilty,有罪の，罪のある(形容詞)
fascinate,魅了する，魅惑する(動詞)
trigger,引き金，誘因(名詞)
distinction,区別，相違(名詞)
transform,を変える，を改変する(動詞)
transfer,を移す，を転送する(動詞)
order,命令，指令(名詞)
hide,隠す，隠れる(動詞)
solid,固い，固形の(形容詞)
plain,簡素な，わかりやすい(形容詞)
ease,容易さ，気楽さ(名詞)
stretch,広がる，拡大する(動詞)
amendment,修正，改訂(名詞)
frighten,怖がらせる，恐れさせる(動詞)
heel,かかと，きびす(名詞)
perceive,知覚する，感じる(動詞)
rational,理性的な，合理的な(形容詞)
faith,信頼，信用(名詞)
conviction,信念，確信(名詞)
agent,代理人，代表者(名詞)
rural,田舎の，農村の(形容詞)
pioneer,開拓者，先駆者(名詞)
humanity,人間，人間性(名詞)
within,以内で，内部で(前置詞)
respect,尊敬，敬意(名詞)
sweep,掃く，払う(動詞)
display,展示する，陳列する(動詞)
own,自身の，自分自身の(形容詞)
disappoint,がっかりさせる，失望させる(動詞)
hang,つるす，掛ける(動詞)
transition,遷移，変遷(名詞)
decision,決定，結論(名詞)
aware,気づいている，知っている(形容詞)
reward,褒美，報酬(名詞)
uncomfortable,心地の悪い，不快な(形容詞)
civilized,発達した文明をもつ，教養の高い(形容詞)
aggressive,攻撃的な，侵略的な(形容詞)
infant,乳児，赤ちゃん(名詞)
means,手段，方法(名詞)
useless,役に立たない，むだな(形容詞)
briefly,簡単に，手短に(副詞)
site,場所，地点(名詞)
nature,自然，天然(名詞)
dialect,方言，地域言語(名詞)
genius,天才，才人(名詞)
conduct,行為，行動(名詞)
insect,昆虫，虫(名詞)
demonstrate,実証する，証明する(動詞)
painful,苦痛な，痛い(形容詞)
circuit,回路，巡回(名詞)
regime,政権，政府(名詞)
awake,目を覚ましている，覚醒している(形容詞)
useful,役に立つ，有用な(形容詞)
entertainment,娯楽，楽しみ(名詞)
express,表現する，を言い表す(動詞)
sacrifice,犠牲，捧げ物(名詞)
devise,考え出す，工夫する(動詞)
intimate,親密な，密接な(形容詞)
seldom,めったに～しない，稀に(副詞)
criticism,批判，評価(名詞)
price,値段，価格(名詞)
invisible,見えない，不可視な(形容詞)
present,現在の，出席して(形容詞)
somehow,どうにか，何とか(副詞)
agreement,同意，賛成(名詞)
although,だけれども，しかし(接続詞)
advocate,提唱する，主張する(動詞)
increasingly,ますます，更に(副詞)
govern,統治する，支配する(動詞)
electronic,電子の，電子式の(形容詞)
necessarily,必然的に，必ず(副詞)
severe,厳しい，厳格な(形容詞)
convenient,都合がよい，便利な(形容詞)
due,期限の，納期の(形容詞)
coast,海岸，沿岸地域(名詞)
extreme,極端な，過激な(形容詞)
relief,安堵，軽減(名詞)
edge,端，縁(名詞)
vice,副担当の，代理の(形容詞)
national,国の，国民の(形容詞)
vulnerable,傷つきやすい，繊細(形容詞)
evolution,進化，発展(名詞)
slight,かすかな，わずかの(形容詞)
rely,頼る，依存する(動詞)
globe,地球，地球体(名詞)
constitution,憲法，構成，組織(名詞)
prompt,即座の，直ちに(形容詞)
restriction,制限，限定(名詞)
rapid,急速な，急激な(形容詞)
inspector,検査官，監査人(名詞)
essentially,本質的に，根本的に(副詞)
select,を選び出す，を選ぶ(動詞)
carbon,炭素，炭素素子(名詞)
sudden,突然の，急な(形容詞)
deliberately,故意に，慎重に(副詞)
significant,重要な，大切な(形容詞)
employ,雇う，採用する(動詞)
latest,最新の，最先端の(形容詞)
tough,頑強な，丈夫な(形容詞)
tide,潮，潮流(名詞)
asset,資産，財産(名詞)
origin,起源，由来(名詞)
popular,人気のある，評判の良い(形容詞)
colony,植民地，入植地(名詞)
distribution,分布，配分(名詞)
plot,話の筋，物語の筋(名詞)
mortgage,抵当，担保(名詞)
drug,麻薬，薬(名詞)
possibly,ひょっとすると，もしかしたら(副詞)
advice,助言，忠告(名詞)
industrialize,産業化する，工業化する(動詞)
complain,不満を言う，不平を言う(動詞)
county,州，郡(名詞)
supporter,支援者，後援者(名詞)
federal,連邦の，連邦制の(形容詞)
fur,毛皮，皮毛(名詞)
commercial,商業の，商取引の(形容詞)
aggression,攻撃性，侵略(名詞)
entire,全体の，全部の(形容詞)
silly,馬鹿な，愚かな(形容詞)
brick,れんが，れんが状のもの(名詞)
basis,土台，根拠(名詞)
protect,を守る，保護する(動詞)
confirm,確認する，確かめる(動詞)
broad,広い，拡大する(形容詞)
prior,優先の，前の(形容詞)
consequence,結果，影響(名詞)
pretty,かなり，相当に(副詞)
manufacturer,製造元，製造業者(名詞)
exhibition,展示，展覧(名詞)
cruise,巡航する，航行する(動詞)
extraordinary,普通でない，異常な(形容詞)
leisure,余暇，自由時間(名詞)
multiple,掛け算する，乗算する(動詞)
variation,変化，変動(名詞)
suit,適合する，合致する(動詞)
teenager,十代，少年期(名詞)
bare,裸の，露出の(形容詞)
minority,少数派，少数群(名詞)
rapidly,素早く，迅速に(副詞)
odd,変な，奇妙な(形容詞)
lawn,芝生，草地(名詞)
